campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature (C),Output (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous
1,1,0,130,0,39.46707317,0,0.28,39.74707317,0.201,1693,32.643,0,25950.00985,0,0,0,3728,273,3728,15.066,0.001257919,0,6.75,6.687037044,0,0,11976.92762,0
1,2,130,135,11,23.53170732,0,0.39,34.92170732,0.204,1685,30.466,25950.00985,20315.33812,3728,273,3728,3740,274,3740,13.54044444,0.001499655,0,6.687037044,6.624074089,39.74707317,32.643,9029.039164,11976.92762
1,3,135,125,12,19.67804878,0,0.394,32.07204878,0.203,1633,28.29,20315.33812,17880.32673,3740,274,3740,3731,275,3731,13.5792,0.001582186,0,6.624074089,6.561111133,34.92170732,30.466,8582.55683,9029.039164
1,4,125,110,12,16.95609756,0,0.45,29.40609756,0.192,1686,26.114,17880.32673,16040.3417,3731,275,3731,3764,270,3764,14.244,0.00162802,0,6.561111133,6.498148178,32.07204878,28.29,8749.277291,8582.55683
1,5,110,115,13,17.03292683,0,0.495,30.52792683,0.196,1689,27.202,16040.3417,17353.32549,3764,270,3764,3756,274,3756,14.19234783,0.001567538,0,6.498148178,6.435185222,29.40609756,26.114,9053.908951,8749.277291
1,6,115,105,15,16,0,0.47,31.47,0.194,1686,28.29,17353.32549,16948.34097,3756,274,3756,3675,275,3675,16.16571429,0.00166919,0,6.435185222,6.372222267,30.52792683,27.202,9684.766269,9053.908951
1,7,105,115,16,13.57560976,0,0.39,29.96560976,0.244,1679,27.202,16948.34097,17846.33453,3675,275,3675,3676,277,3676,14.19234783,0.001524235,0,6.372222267,6.309259311,31.47,28.29,9311.131059,9684.766269
1,8,115,125,19,11.27439024,0,0.425,30.69939024,0.184,1716,28.29,17846.33453,18687.32727,3676,277,3676,3673,277,3673,13.5792,0.00151386,0,6.309259311,6.246296356,29.96560976,27.202,8969.91709,9311.131059
1,9,125,120,17,14.96097561,0,0.45,32.41097561,0.182,1719,29.378,18687.32727,19207.04262,3673,277,3673,3429,276,3429,14.689,0.001529543,0,6.246296356,6.1833334,30.69939024,28.29,9603.52131,8969.91709
1,10,120,130,14,22.51585366,0,0.46,36.97585366,0.216,1688,32.643,19207.04262,20188.06335,3429,276,3429,3677,277,3677,15.066,0.001616946,0,6.1833334,6.120370444,32.41097561,29.378,9317.5677,9603.52131
1,11,130,130,15,21.2597561,0,0.51,36.7697561,0.198,1687,32.643,20188.06335,20527.06091,3677,277,3677,3657,277,3657,15.066,0.001590242,0,6.120370444,6.057407489,36.97585366,32.643,9474.028112,9317.5677
1,12,130,120,17,16.29390244,0,0.445,33.73890244,0.186,1679,30.466,20527.06091,18480.03581,3657,277,3657,3645,278,3645,15.233,0.00164859,0,6.057407489,5.994444533,36.7697561,32.643,9240.017905,9474.028112
1,13,120,115,15,15.95731707,0,0.505,31.46231707,0.208,1678,28.29,18480.03581,17941.03707,3645,278,3645,3600,279,3600,14.76,0.001576832,0,5.994444533,5.931481578,33.73890244,30.466,9360.54108,9240.017905
1,14,115,110,16,15.49878049,0,0.445,31.94378049,0.208,1685,28.834,17941.03707,17697.0405,3600,279,3600,3616,279,3616,15.72763636,0.001629312,0,5.931481578,5.868518622,31.46231707,28.29,9652.931182,9360.54108
1,15,110,125,15,18.72682927,0,0.41,34.13682927,0.218,1682,30.466,17697.0405,19012.06357,3616,279,3616,3595,280,3595,14.62368,0.001602456,0,5.868518622,5.805555667,31.94378049,28.834,9125.790514,9652.931182
1,16,125,115,8,25.7597561,0,0.415,34.1747561,0.216,1666,29.378,19012.06357,17712.05496,3595,280,3595,3611,279,3611,15.32765217,0.001658644,0,5.805555667,5.742592711,34.13682927,30.466,9241.072153,9125.790514
1,17,115,140,12,24.94268293,0,0.43,37.37268293,0.201,1669,32.643,17712.05496,20196.06089,3611,279,3611,3572,285,3572,13.98985714,0.001616305,1,5.742592711,5.679629756,34.1747561,29.378,8655.454667,9241.072153
1,18,140,125,12,25.01585366,0,0.37,37.38585366,0.249,1680,32.643,20196.06089,18928.04355,3572,285,3572,3594,285,3594,15.66864,0.001724584,1,5.679629756,5.6166668,37.37268293,32.643,9085.460904,8655.454667
1,19,125,115,12,22.36707317,0,0.365,34.73207317,0.214,1641,30.466,18928.04355,18344.03559,3594,285,3594,3574,286,3574,15.89530435,0.001660812,1,5.6166668,5.553703844,37.38585366,32.643,9570.801177,9085.460904
1,20,115,125,7,29.54268293,0,0.47,37.01268293,0.239,1685,31.555,18344.03559,19161.83686,3574,286,3574,3538,287,3538,15.1464,0.001646763,1,5.553703844,5.490740889,34.73207317,30.466,9197.681693,9570.801177
1,21,125,120,6,29.47073171,0,0.42,35.89073171,0.242,1681,30.466,19161.83686,18188.84179,3538,287,3538,3519,287,3519,15.233,0.001674983,1,5.490740889,5.427777933,37.01268293,31.555,9094.420895,9197.681693
1,22,120,125,8,27.0804878,0,0.42,35.5004878,0.186,1682,30.466,18188.84179,18868.84291,3519,287,3519,3479,289,3479,14.62368,0.001614619,1,5.427777933,5.364814978,35.89073171,30.466,9057.044597,9094.420895
1,23,125,120,6,27.43170732,0,0.46,33.89170732,0.193,1684,28.834,18868.84291,18316.82733,3479,289,3479,3434,290,3434,14.417,0.001574181,1,5.364814978,5.301852022,35.5004878,30.466,9158.413665,9057.044597
1,24,120,130,12,19.65853659,0,0.41,32.06853659,0.208,1683,28.29,18316.82733,19119.82479,3434,290,3434,3380,292,3380,13.05692308,0.001479616,1,5.301852022,5.238889067,33.89170732,28.834,8824.534518,9158.413665
1,25,130,120,8,27.73170732,0,0.43,36.16170732,0.206,1675,31.01,19119.82479,18337.82552,3380,292,3380,3351,292,3351,15.505,0.00169104,1,5.238889067,5.175926111,32.06853659,28.29,9168.91276,8824.534518
1,26,120,120,12,20.94268293,0,0.445,33.38768293,0.207,1682,29.378,18337.82552,18251.81695,3351,292,3351,3497,301,3497,14.689,0.001609593,2,5.175926111,5.112963156,36.16170732,31.01,9125.908475,9168.91276
1,27,120,120,3,31.68170732,0,0.459,35.14070732,0.199,1640,29.378,18251.81695,18815.81579,3497,301,3497,3401,303,3401,14.689,0.001561346,2,5.112963156,5.0500002,33.38768293,29.378,9407.907895,9125.908475
1,28,120,135,3,29.12439024,0,0.38,32.50439024,0.2,1675,27.202,18815.81579,18835.83449,3401,303,3401,3364,303,3364,12.08977778,0.001444162,2,5.0500002,4.987037244,35.14070732,29.378,8371.481996,9407.907895
1,29,135,175,9,27.14268293,0,0.478,36.62068293,0.194,1659,31.555,18835.83449,17306.84463,3364,303,3364,3335,303,3335,10.81885714,0.001823267,2,4.987037244,4.924074289,32.50439024,27.202,5933.775302,8371.481996
