Customer Name,Refractory,Lining type,campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature ©,Output (MT),Output + Next Hot Heel (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous,Carbon addition (Kg),SiMn addition (Kg),Pig iron addition (MT) ,Scrap (KG),Output (KG),Pig iron (KG),Lumps(%),Pellets(%),Fines(%),Pellets(kg),Lumps(Kg),Fines (Kg)
Godavari,SRM,NL,1,7,0,175,2.5,14.44,,0.31,17.24902439,,,14.6,14.6,0,13200,0,0,,,,,5.005714286,0.001106061,,6.625,5.964285714,0,0,4525.714286,0,110,200,,,,,22,75,3,75,,
Godavari,SRM,NL,1,8,175,175,2.5,14.44,,0.31,17.24902439,,,14.6,14.6,13200,11890,,,,,,,5.005714286,0.001227923,,5.964285714,5.303571429,17.24902439,14.6,4076.571429,4525.714286,110,200,,,,,22,75,3,75,,
Godavari,SRM,NL,1,9,175,170,2.5,14.44,,0.31,17.24902439,,,14.6,14.6,11890,12600,,,,,,,5.152941176,0.00115873,,5.303571429,4.642857143,17.24902439,14.6,4447.058824,4076.571429,110,200,,,,,22,75,3,75,,
Godavari,SRM,NL,1,10,170,215,2.5,16.63,,0.31,19.44414634,,,16.4,16.4,12600,14680,,,,,,,4.576744186,0.001117166,,4.642857143,3.982142857,17.24902439,14.6,4096.744186,4447.058824,100,210,,,,,22,75,3,75,,
Godavari,SRM,NL,1,11,215,180,2.5,15.45,,0.28,18.23121951,,,15.4,15.4,14680,13320,,,,,,,5.133333333,0.001156156,,3.982142857,3.321428571,19.44414634,16.4,4440,4096.744186,100,180,,,,,22,75,3,75,,
Godavari,SRM,NL,1,12,180,200,2.5,15.70,,0.28,18.47512195,,,15.6,15.6,13320,13000,,,,,,,4.68,0.0012,,3.321428571,2.660714286,18.23121951,15.4,3900,4440,100,180,,,,,22,75,3,75,,
Godavari,SRM,NL,1,13,200,170,2.4,16.86,,0.32,19.58341463,,,16.5,16.5,13000,12160,,,,,,,5.823529412,0.001356908,,2.660714286,2,18.47512195,15.6,4291.764706,3900,100,220,,,,,25,75,,75,,
Godavari,SRM,NL,2,1,0,205,2.4,17.43,,0.355,20.1854878,,,17,17,0,15160,0,0,,,,,4.975609756,0.001121372,,6.625,6.294642857,0,0,4437.073171,0,130,225,,,,,25,75,,75,,
Godavari,SRM,NL,2,2,205,180,2.4,16.74,,0.32,19.46146341,,,16.4,16.4,15160,13880,,,,,,,5.466666667,0.001181556,,6.294642857,5.964285714,20.1854878,17,4626.666667,4437.073171,100,220,,,,,25,75,,75,,
Godavari,SRM,NL,2,3,180,185,2.4,16.62,,0.32,19.3395122,,,16.3,16.3,13880,12400,,,,,,,5.286486486,0.001314516,,5.964285714,5.633928571,19.46146341,16.4,4021.621622,4626.666667,100,220,,,,,25,75,,75,,
Godavari,SRM,NL,2,4,185,195,2.4,16.12,,0.33,18.8495122,,,15.9,15.9,12400,13560,,,,,,,4.892307692,0.001172566,,5.633928571,5.303571429,19.3395122,16.3,4172.307692,4021.621622,110,220,,,,,25,75,,75,,
Godavari,SRM,NL,2,5,195,160,2.4,13.81,,0.32,16.53463415,,,14,14,13560,13440,,,,,,,5.25,0.001041667,,5.303571429,4.973214286,18.8495122,15.9,5040,4172.307692,120,200,,,,,25,75,,75,,
Godavari,SRM,NL,2,6,160,205,2.4,16.25,,0.32,18.97365854,,,16,16,13440,12880,,,,,,,4.682926829,0.001242236,,4.973214286,4.642857143,16.53463415,14,3769.756098,5040,110,210,,,,,25,75,,75,,
Godavari,SRM,NL,2,7,205,190,2.4,15.90,,0.31,18.61,,,15.7,15.7,12880,12960,,,,,,,4.957894737,0.00121142,,4.642857143,4.3125,18.97365854,16,4092.631579,3769.756098,110,200,,,,,25,75,,75,,
Godavari,SRM,NL,2,8,190,190,2.4,17.45,,0.34,20.18878049,,,17,17,12960,15160,,,,,,,5.368421053,0.001121372,,4.3125,3.982142857,18.61,15.7,4787.368421,4092.631579,120,220,,,,,23,77,,77,,
Godavari,SRM,NL,2,9,190,175,2.4,16.75,,0.31,19.46365854,,,16.4,16.4,15160,12920,,,,,,,5.622857143,0.00126935,,3.982142857,3.651785714,20.18878049,17,4429.714286,4787.368421,100,210,,,,,23,77,,77,,
Godavari,SRM,NL,2,10,175,220,2.4,17.23,,0.32,19.94926829,,,16.8,16.8,12920,16080,,,,,,,4.581818182,0.001044776,,3.651785714,3.321428571,19.46365854,16.4,4385.454545,4429.714286,100,220,,,,,23,77,,77,,
