Customer Name,Refractory,Lining type,campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature,Output (MT),Output + Next Hot Heel (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous,Carbon addition (Kg),SiMn addition (Kg),Pig iron addition (MT) ,Scrap (KG),Output (KG),Pig iron (KG),Lumps(%),Pellets(%),Fines(%),Pellets(kg),Lumps(Kg),Fines (Kg)
Godavari,NRM,NL,19,1,0.0,250.0,3.5,14.48,1.5,0.0,19.48,0.18,1710.0,16.8,16.8,0.0,17360.0,0.0,0.0,,3700.0,520.0,,2.92,0.000967742,,6.63,6.56,0.0,0.0,3019.13,0,,,,,,,12.0,76.0,12.0,76.0,,
Godavari,NRM,NL,19,2,250.0,190.0,2.5,18.23,,0.0,20.73,0.24,1680.0,15.1,17.4,17360.0,15040.0,3700.0,520.0,,3800.0,520.0,,5.49,0.001156915,,6.56,6.49,19.48,16.8,4749.47,3019.13,,,,,,,12.0,76.0,12.0,76.0,,
Godavari,NRM,NL,19,3,190.0,195.0,,17.56,2.3,0.0,19.86,0.15,1670.0,14.2,16.7,15040.0,13920.0,3800.0,520.0,,3800.0,520.0,,5.14,0.001199713,,6.49,6.43,20.73,15.1,4283.08,4749.47,,,,,,,12.0,76.0,12.0,76.0,,
Godavari,NRM,NL,19,4,195.0,205.0,,16.59,2.5,0.0,19.09,0.17,1665.0,14.1,16.1,13920.0,12880.0,3800.0,520.0,,3200.0,510.0,,4.71,0.00125,,6.43,6.36,19.86,14.2,3769.76,4283.08,,,,,,,12.0,76.0,12.0,76.0,,
Godavari,NRM,NL,19,5,205.0,185.0,,17.2,2.0,0.0,19.2,0.16,1695.0,16.1,16.1,12880.0,15320.0,3200.0,510.0,,3800.0,520.0,,5.22,0.001050914,,6.36,6.3,19.09,14.1,4968.65,3769.76,,,,,,,12.0,76.0,12.0,76.0,,
Godavari,NRM,NL,19,6,185.0,200.0,2.3,16.28,,0.0,18.58,0.18,1665.0,13.4,15.6,15320.0,15520.0,3800.0,520.0,,3750.0,520.0,,4.68,0.001005155,,6.3,6.23,19.2,16.1,4656,4968.65,,,,,,,19.0,62.0,19.0,62.0,,
Godavari,NRM,NL,19,7,200.0,185.0,,18.66,2.2,0.0,20.86,0.24,1690.0,15.0,17.5,15520.0,14600.0,3750.0,520.0,,3800.0,500.0,,5.68,0.00119863,,6.23,6.17,18.58,13.4,4735.14,4656,,,,,,,19.0,62.0,19.0,62.0,,
Godavari,NRM,NL,19,8,185.0,205.0,,18.05,2.5,0.0,20.55,0.13,1690.0,15.0,17.3,14600.0,14120.0,3800.0,500.0,,3800.0,550.0,,5.06,0.001225212,,6.17,6.1,20.86,15.0,4132.68,4735.14,,,,,,,19.0,62.0,19.0,62.0,,
Godavari,NRM,NL,19,9,205.0,215.0,,19.27,2.3,0.0,21.57,0.19,1670.0,15.5,18.1,14120.0,15960.0,3800.0,550.0,,3700.0,510.0,,5.05,0.001134085,,6.1,6.04,20.55,15.0,4453.95,4132.68,,,,,,,19.0,62.0,19.0,62.0,,
Godavari,NRM,NL,19,10,215.0,190.0,,17.68,2.6,0.0,20.28,0.16,1660.0,14.5,17.1,15960.0,13320.0,3700.0,510.0,,3800.0,520.0,,5.4,0.001283784,,6.04,5.97,21.57,15.5,4206.32,4453.95,,,,,,,19.0,62.0,19.0,62.0,,
