Customer Name,Refractory,Lining type,campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature,Output (MT),Output + Next Hot Heel (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous,Carbon addition (Kg),SiMn addition (Kg),Pig iron addition (MT) ,Scrap (KG),Output (KG),Pig iron (KG),Lumps(%),Pellets(%),Fines(%),Pellets(kg),Lumps(Kg),Fines (Kg)
MSP,SRM,NL,63,1,0.0,190.0,2.0,17.13,0.0,0.25,19.37,0.18,,16.0,16.25,0.0,12094.0,0.0,0.0,,3300.0,470.0,,5.13,0.001343641,,7.25,6.99,0.0,0.0,3819.16,0,25.0,220.0,2.0,0.0,16000.0,,,,,,,
MSP,SRM,NL,63,2,190.0,155.0,1.0,17.19,0.0,0.25,18.44,0.16,,15.0,15.33,12094.0,,3300.0,470.0,,3300.0,470.0,,5.93,#DIV/0!,,6.99,6.73,19.37,16.0,0,3819.16,50.0,200.0,1.5,0.0,15000.0,,,,,,,
MSP,SRM,NL,63,3,155.0,205.0,1.0,18.26,0.0,0.33,19.58,0.18,,16.0,16.28,,21008.0,3300.0,470.0,,3300.0,470.0,,4.76,0.000774943,,6.73,6.47,18.44,15.0,6148.68,0,100.0,225.0,1.0,0.0,16000.0,,,,,,,
MSP,SRM,NL,63,4,205.0,175.0,0.5,18.95,0.0,0.28,19.72,0.22,,16.0,16.3,21008.0,10886.0,3300.0,470.0,,3300.0,480.0,,5.59,0.001497336,,6.47,6.22,19.58,16.0,3732.34,6148.68,75.0,200.0,1.0,0.0,16000.0,,,,,,,
MSP,SRM,NL,63,5,175.0,175.0,1.0,18.9,0.0,0.3,20.2,,,16.5,16.78,10886.0,11794.0,3300.0,480.0,,3300.0,480.0,,5.75,0.001422757,,6.22,5.96,19.72,16.0,4043.66,3732.34,75.0,225.0,1.5,0.0,16500.0,,,,,,,
MSP,SRM,NL,63,6,175.0,165.0,0.5,18.3,0.0,0.28,19.08,0.24,,15.5,15.78,11794.0,12772.0,3300.0,480.0,,3300.0,480.0,,5.74,0.001235515,,5.96,5.7,20.2,16.5,4644.36,4043.66,50.0,225.0,1.5,0.0,15500.0,,,,,,,
MSP,SRM,NL,63,7,165.0,205.0,0.5,19.52,0.0,0.28,20.3,0.2,,16.5,16.78,12772.0,12224.0,3300.0,480.0,,3300.0,480.0,,4.91,0.001372709,,5.7,5.44,19.08,15.5,3577.76,4644.36,50.0,225.0,1.5,0.0,16500.0,,,,,,,
MSP,SRM,NL,63,8,205.0,210.0,0.5,19.52,0.0,0.28,20.3,0.19,,16.5,16.78,12224.0,13447.0,3300.0,480.0,,3300.0,480.0,,4.79,0.001247862,,5.44,5.18,20.3,16.5,3842,3577.76,50.0,225.0,1.5,0.0,16500.0,,,,,,,
MSP,SRM,NL,63,9,210.0,200.0,0.5,18.88,0.0,0.28,19.66,0.21,,16.0,16.25,13447.0,13447.0,3300.0,480.0,,3300.0,480.0,,4.88,0.001208448,,5.18,4.92,20.3,16.5,4034.1,3842,50.0,225.0,1.0,0.0,16000.0,,,,,,,
MSP,SRM,NL,63,10,200.0,195.0,1.0,20.45,0.0,0.25,21.7,0.18,,18.0,18,13447.0,13552.0,3300.0,480.0,,3200.0,500.0,,5.54,0.001328217,,4.92,4.67,19.66,16.0,4169.85,4034.1,50.0,200.0,1.0,0.0,18000.0,,,,,,,
