Customer Name,Refractory,Lining type,campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature,Output (MT),Output + Next Hot Heel (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous,Carbon addition (Kg),SiMn addition (Kg),Pig iron addition (MT) ,Scrap (KG),Output (KG),Pig iron (KG),Lumps(%),Pellets(%),Fines(%),Pellets(kg),Lumps(Kg),Fines (Kg)
Godavari,SRM,NL,1,7,0,175,2.5,14.44,,0.31,17.25,,,14.6,14.6,0,13200,0,0,,,,,5.01,0.001106061,,6.63,5.96,0,0,4525.71,0,110,200,,,,,22,75,3,75,,
Godavari,SRM,NL,1,8,175,175,2.5,14.44,,0.31,17.25,,,14.6,14.6,13200,11890,,,,,,,5.01,0.001227923,,5.96,5.3,17.25,14.6,4076.57,4525.71,110,200,,,,,22,75,3,75,,
Godavari,SRM,NL,1,9,175,170,2.5,14.44,,0.31,17.25,,,14.6,14.6,11890,12600,,,,,,,5.15,0.00115873,,5.3,4.64,17.25,14.6,4447.06,4076.57,110,200,,,,,22,75,3,75,,
Godavari,SRM,NL,1,10,170,215,2.5,16.63,,0.31,19.44,,,16.4,16.4,12600,14680,,,,,,,4.58,0.001117166,,4.64,3.98,17.25,14.6,4096.74,4447.06,100,210,,,,,22,75,3,75,,
Godavari,SRM,NL,1,11,215,180,2.5,15.45,,0.28,18.23,,,15.4,15.4,14680,13320,,,,,,,5.13,0.001156156,,3.98,3.32,19.44,16.4,4440,4096.74,100,180,,,,,22,75,3,75,,
Godavari,SRM,NL,1,12,180,200,2.5,15.7,,0.28,18.48,,,15.6,15.6,13320,13000,,,,,,,4.68,0.0012,,3.32,2.66,18.23,15.4,3900,4440,100,180,,,,,22,75,3,75,,
Godavari,SRM,NL,1,13,200,170,2.4,16.86,,0.32,19.58,,,16.5,16.5,13000,12160,,,,,,,5.82,0.001356908,,2.66,2,18.48,15.6,4291.76,3900,100,220,,,,,25,75,,75,,
Godavari,SRM,NL,2,1,0,205,2.4,17.43,,0.36,20.19,,,17,17,0,15160,0,0,,,,,4.98,0.001121372,,6.63,6.29,0,0,4437.07,0,130,225,,,,,25,75,,75,,
Godavari,SRM,NL,2,2,205,180,2.4,16.74,,0.32,19.46,,,16.4,16.4,15160,13880,,,,,,,5.47,0.001181556,,6.29,5.96,20.19,17,4626.67,4437.07,100,220,,,,,25,75,,75,,
Godavari,SRM,NL,2,3,180,185,2.4,16.62,,0.32,19.34,,,16.3,16.3,13880,12400,,,,,,,5.29,0.001314516,,5.96,5.63,19.46,16.4,4021.62,4626.67,100,220,,,,,25,75,,75,,
Godavari,SRM,NL,2,4,185,195,2.4,16.12,,0.33,18.85,,,15.9,15.9,12400,13560,,,,,,,4.89,0.001172566,,5.63,5.3,19.34,16.3,4172.31,4021.62,110,220,,,,,25,75,,75,,
Godavari,SRM,NL,2,5,195,160,2.4,13.81,,0.32,16.53,,,14,14,13560,13440,,,,,,,5.25,0.001041667,,5.3,4.97,18.85,15.9,5040,4172.31,120,200,,,,,25,75,,75,,
Godavari,SRM,NL,2,6,160,205,2.4,16.25,,0.32,18.97,,,16,16,13440,12880,,,,,,,4.68,0.001242236,,4.97,4.64,16.53,14,3769.76,5040,110,210,,,,,25,75,,75,,
Godavari,SRM,NL,2,7,205,190,2.4,15.9,,0.31,18.61,,,15.7,15.7,12880,12960,,,,,,,4.96,0.00121142,,4.64,4.31,18.97,16,4092.63,3769.76,110,200,,,,,25,75,,75,,
Godavari,SRM,NL,2,8,190,190,2.4,17.45,,0.34,20.19,,,17,17,12960,15160,,,,,,,5.37,0.001121372,,4.31,3.98,18.61,15.7,4787.37,4092.63,120,220,,,,,23,77,,77,,
Godavari,SRM,NL,2,9,190,175,2.4,16.75,,0.31,19.46,,,16.4,16.4,15160,12920,,,,,,,5.62,0.00126935,,3.98,3.65,20.19,17,4429.71,4787.37,100,210,,,,,23,77,,77,,
Godavari,SRM,NL,2,10,175,220,2.4,17.23,,0.32,19.95,,,16.8,16.8,12920,16080,,,,,,,4.58,0.001044776,,3.65,3.32,19.46,16.4,4385.45,4429.71,100,220,,,,,23,77,,77,,
Godavari,SRM,NL,2,11,220,200,2.4,14.88,,0.35,17.63,,,14.9,14.9,16080,14120,,,,,,,4.47,0.001055241,,3.32,2.99,19.95,16.8,4236,4385.45,150,200,,,,,23,77,,77,,
Godavari,SRM,NL,2,12,200,200,2.4,16.83,,0.35,19.58,,,16.5,16.5,14120,15840,,,,,,,4.95,0.001041667,,2.99,2.66,17.63,14.9,4752,4236,130,215,,,,,23,77,,77,,
Godavari,SRM,NL,2,13,200,170,2.4,16.24,,0.33,18.97,,,16,16,15840,12240,,,,,,,5.65,0.00130719,,2.66,2.33,19.58,16.5,4320,4752,120,210,,,,,23,77,,77,,
Godavari,SRM,NL,2,14,170,170,2.4,16.36,,0.33,19.09,,,16.1,16.1,12240,13120,,,,,,,5.68,0.001227134,,2.33,2,18.97,16,4630.59,4320,120,210,,,,,23,77,,77,,
Godavari,SRM,NL,3,1,0,185,2.4,15.63,,0.33,18.36,,,15.5,15.5,0,12880,0,0,,,,,5.03,0.001203416,,6.63,6.37,0,0,4177.3,0,130,200,,,,,23,77,,77,,
Godavari,SRM,NL,3,2,185,175,2.4,15.57,,0.28,18.25,,,15.4,15.4,12880,11960,,,,,,,5.28,0.001287625,,6.37,6.11,18.36,15.5,4100.57,4177.3,100,180,,,,,23,77,,77,,
Godavari,SRM,NL,3,3,175,170,2.4,15.8,,0.29,18.49,,,15.6,15.6,11960,12240,,,,,,,5.51,0.00127451,,6.11,5.85,18.25,15.4,4320,4100.57,110,180,,,,,23,77,,77,,
